sqft_area,bedrooms,bathrooms,age_of_property,location,furnishing_status,has_parking,has_pool,has_gym,price
3604,5,2,31,Business District,Semi-Furnished,1,0,0,31083478.76
2954,3,3,25,Rural,Unfurnished,1,0,0,12162535.69
4145,5,3,1,Downtown,Semi-Furnished,0,0,0,38653808.64
1304,2,2,11,Suburbs,Semi-Furnished,1,0,0,8432617.0
3231,3,2,21,Uptown,Fully-Furnished,1,0,1,26939683.37
3273,4,3,16,Rural,Semi-Furnished,1,0,0,13284677.49
2070,2,1,6,Rural,Fully-Furnished,1,1,0,10009106.71
3190,3,4,42,Suburbs,Fully-Furnished,0,0,0,18541736.97
4340,5,4,3,Suburbs,Fully-Furnished,1,0,1,29575548.89
1528,3,2,36,Rural,Unfurnished,0,0,0,4898324.35
1002,5,3,37,Suburbs,Unfurnished,1,0,0,7390719.69
4993,3,2,31,Rural,Semi-Furnished,1,0,0,18147899.18
1370,2,2,10,Suburbs,Fully-Furnished,1,1,0,10405388.01
4988,5,4,0,Suburbs,Fully-Furnished,1,0,1,33476172.3
706,1,2,24,Rural,Semi-Furnished,0,1,0,3530654.81
1984,1,1,41,Business District,Fully-Furnished,1,0,0,17641807.19
1363,4,2,23,Rural,Semi-Furnished,1,1,1,9015169.82
3290,4,2,42,Downtown,Fully-Furnished,0,1,0,32755005.96
1063,4,3,16,Suburbs,Unfurnished,1,0,0,8684403.48
4691,5,2,7,Uptown,Semi-Furnished,0,0,1,36621148.66
2257,5,2,44,Suburbs,Semi-Furnished,1,0,0,13183911.08
2178,2,1,26,Downtown,Unfurnished,1,1,1,20570363.49
3742,5,2,17,Uptown,Semi-Furnished,0,0,1,29565328.84
1559,3,1,26,Uptown,Unfurnished,1,0,1,11557692.13
2222,2,1,21,Rural,Fully-Furnished,1,0,0,9529126.19
3814,4,2,15,Business District,Unfurnished,1,0,0,31842861.53
3657,3,4,1,Rural,Unfurnished,1,1,0,17213129.97
3125,3,3,4,Uptown,Semi-Furnished,1,0,0,23176026.25
3229,3,2,17,Uptown,Fully-Furnished,1,0,0,25797801.85
2097,3,3,2,Business District,Unfurnished,1,0,1,19447035.96
3560,5,3,26,Suburbs,Fully-Furnished,1,0,1,23306335.31
3193,3,3,16,Business District,Unfurnished,1,1,0,28398608.66
4127,4,2,15,Rural,Semi-Furnished,0,1,0,17502409.09
1863,5,1,5,Suburbs,Unfurnished,1,0,0,11836186.16
2481,5,2,6,Rural,Unfurnished,1,0,1,11935776.6
2163,1,1,49,Business District,Fully-Furnished,1,1,0,19022779.28
2029,1,2,13,Suburbs,Unfurnished,1,0,0,11426442.56
2538,1,1,37,Business District,Semi-Furnished,1,0,1,20936383.99
3802,4,2,39,Downtown,Semi-Furnished,1,0,0,34500510.67
2737,5,1,14,Uptown,Unfurnished,1,0,1,22996536.83
1806,3,2,46,Suburbs,Unfurnished,1,0,0,9230770.11
4529,5,2,46,Uptown,Fully-Furnished,1,1,1,37466597.63
3175,3,4,47,Downtown,Fully-Furnished,1,0,0,30904297.79
1782,3,2,32,Suburbs,Semi-Furnished,0,0,0,10701490.38
1209,5,3,42,Uptown,Fully-Furnished,1,0,1,12519681.31
4913,3,4,26,Uptown,Unfurnished,1,1,1,36502783.39
4248,3,3,28,Suburbs,Semi-Furnished,1,0,0,23426961.8
1163,2,3,36,Uptown,Fully-Furnished,0,0,0,9314677.05
2498,4,3,4,Uptown,Semi-Furnished,0,0,0,20250922.86
3945,3,4,28,Suburbs,Unfurnished,1,1,1,24220587.69
4243,5,2,31,Uptown,Fully-Furnished,1,0,0,34134848.63
1995,3,3,5,Uptown,Unfurnished,1,0,1,17011299.48
3804,4,2,1,Rural,Unfurnished,1,0,0,15450569.5
4263,3,3,5,Rural,Semi-Furnished,1,0,0,18118010.76
2353,4,2,45,Downtown,Semi-Furnished,1,1,1,22969715.18
1791,1,1,42,Rural,Semi-Furnished,1,0,0,4644209.42
4081,5,2,3,Rural,Fully-Furnished,1,0,1,19580070.74
3957,3,4,28,Downtown,Fully-Furnished,0,0,0,38502852.96
2136,3,2,24,Uptown,Semi-Furnished,1,0,0,15439212.08
4196,5,3,8,Uptown,Fully-Furnished,1,0,0,34494365.7
3499,4,3,2,Rural,Fully-Furnished,1,1,0,18612955.99
3652,5,2,25,Downtown,Semi-Furnished,0,0,0,33401949.31
1198,1,1,47,Uptown,Unfurnished,1,0,0,6735465.46
2660,2,3,42,Business District,Fully-Furnished,1,1,1,26382448.35
4597,3,2,26,Suburbs,Fully-Furnished,1,0,0,28267497.05
1354,5,3,35,Suburbs,Unfurnished,0,0,0,8410450.67
3974,3,4,31,Suburbs,Unfurnished,1,0,0,21265679.89
2207,5,3,0,Rural,Unfurnished,0,1,0,11864304.2
3277,4,4,15,Suburbs,Semi-Furnished,1,0,0,20281689.02
2233,1,1,47,Suburbs,Unfurnished,1,0,0,9971167.18
4010,3,3,10,Business District,Semi-Furnished,0,0,0,35146909.27
702,3,1,25,Uptown,Unfurnished,1,0,0,5602821.95
3755,5,4,39,Business District,Unfurnished,0,0,0,31167324.5
4718,3,2,0,Rural,Semi-Furnished,1,0,1,19592336.83
4996,4,2,25,Suburbs,Semi-Furnished,1,0,1,28456288.78
1266,2,1,27,Uptown,Unfurnished,1,0,0,7892203.0
4889,5,2,8,Suburbs,Unfurnished,1,1,1,30297784.31
2827,3,1,43,Suburbs,Unfurnished,1,0,0,14124534.03
3431,4,4,21,Rural,Fully-Furnished,0,0,0,15490426.47
697,3,1,7,Suburbs,Unfurnished,1,0,1,7248238.44
2430,3,3,48,Downtown,Semi-Furnished,1,0,1,22126540.97
4082,3,4,41,Uptown,Fully-Furnished,1,0,1,32633396.8
1108,1,3,26,Uptown,Semi-Furnished,0,0,1,8384874.7
3772,4,4,38,Downtown,Fully-Furnished,1,0,0,36535104.32
1647,2,2,18,Rural,Fully-Furnished,1,0,1,8353760.0
4782,3,2,24,Suburbs,Semi-Furnished,1,0,1,27696544.81
3897,5,3,37,Suburbs,Fully-Furnished,1,0,0,24258191.06
3011,3,4,20,Uptown,Semi-Furnished,1,0,1,23280773.21
2294,4,1,23,Rural,Unfurnished,1,0,0,9041757.68
1159,1,1,23,Rural,Fully-Furnished,0,0,1,5110990.46
3311,4,4,18,Rural,Semi-Furnished,1,1,0,16253870.53
1869,2,3,49,Suburbs,Fully-Furnished,0,1,0,11987516.78
2486,5,2,46,Rural,Semi-Furnished,1,0,0,9741249.83
646,3,1,1,Downtown,Unfurnished,1,0,0,7405876.08
3719,5,2,13,Business District,Unfurnished,1,0,1,32883365.32
3411,4,3,31,Rural,Fully-Furnished,1,0,0,14498093.55
2234,5,1,41,Business District,Fully-Furnished,1,1,0,22959752.19
2343,4,1,31,Suburbs,Semi-Furnished,1,0,0,13098244.62
988,2,2,27,Rural,Semi-Furnished,1,0,1,5948988.8
3476,4,4,47,Uptown,Fully-Furnished,1,1,1,30350476.28
2459,3,2,38,Suburbs,Semi-Furnished,1,0,1,13500829.64
2885,3,1,39,Downtown,Semi-Furnished,1,0,1,26661532.44
3419,5,2,41,Downtown,Semi-Furnished,1,0,0,31294507.96
2302,3,3,46,Business District,Fully-Furnished,1,0,0,21227286.82
4561,4,4,39,Business District,Unfurnished,1,0,0,37995644.98
3869,5,4,12,Uptown,Unfurnished,1,1,1,31504761.75
762,5,3,11,Uptown,Semi-Furnished,1,0,1,8854426.27
1123,5,1,7,Downtown,Fully-Furnished,1,0,0,14238231.33
1516,2,3,14,Rural,Semi-Furnished,0,1,0,7063159.08
4143,3,2,25,Downtown,Unfurnished,1,0,0,35156550.69
2549,2,2,11,Downtown,Semi-Furnished,1,0,1,24651760.18
4223,5,2,42,Uptown,Unfurnished,1,0,0,28922425.06
3608,3,2,45,Business District,Fully-Furnished,1,0,1,33266952.77
4590,5,3,26,Uptown,Semi-Furnished,1,0,0,34340800.28
2556,4,2,17,Uptown,Fully-Furnished,1,1,0,23917950.6
3670,4,4,44,Uptown,Semi-Furnished,1,0,1,26722232.11
2182,3,3,35,Downtown,Semi-Furnished,1,0,0,20095252.03
2755,4,3,48,Rural,Semi-Furnished,1,0,1,11085705.02
1654,2,1,26,Downtown,Semi-Furnished,0,1,0,15546516.24
4999,5,4,8,Suburbs,Semi-Furnished,0,0,0,29622348.84
3691,3,3,38,Uptown,Fully-Furnished,1,1,0,30773699.63
2196,1,3,0,Uptown,Fully-Furnished,1,0,1,19739047.79
4491,3,4,6,Suburbs,Unfurnished,0,1,1,26501554.31
2148,5,1,25,Uptown,Semi-Furnished,1,1,0,19028731.17
1945,3,2,6,Uptown,Unfurnished,1,1,0,16199124.63
4699,4,2,6,Uptown,Fully-Furnished,0,0,0,38658605.06
4423,4,2,7,Suburbs,Unfurnished,1,0,0,24319144.49
753,5,3,15,Downtown,Fully-Furnished,1,0,0,10809503.42
3683,5,3,2,Uptown,Semi-Furnished,1,0,0,29374056.68
3057,4,4,44,Rural,Unfurnished,0,1,0,11751082.5
598,5,3,9,Suburbs,Unfurnished,0,0,0,5732351.18
2700,1,2,49,Business District,Unfurnished,1,0,0,20791171.62
3461,3,3,6,Suburbs,Unfurnished,1,0,0,20143676.48
4933,4,4,20,Downtown,Semi-Furnished,1,0,0,45214565.45
4277,3,2,36,Suburbs,Fully-Furnished,1,0,0,25798651.08
3369,5,4,30,Business District,Fully-Furnished,1,0,1,33673435.03
3734,5,4,22,Rural,Semi-Furnished,1,1,0,18359717.9
4291,4,3,26,Business District,Fully-Furnished,1,0,0,40057195.22
1456,3,3,21,Suburbs,Unfurnished,1,0,0,8911275.31
4567,3,3,38,Business District,Semi-Furnished,1,0,1,39418279.44
660,2,2,26,Suburbs,Fully-Furnished,1,1,0,6183049.76
4993,3,2,48,Rural,Semi-Furnished,1,0,1,18779504.54
1800,5,3,3,Rural,Semi-Furnished,1,0,0,9555704.52
4487,4,4,23,Downtown,Fully-Furnished,1,0,0,45706014.63
2027,2,2,22,Rural,Fully-Furnished,1,0,0,9183608.74
1718,1,3,47,Uptown,Semi-Furnished,1,0,0,12131516.03
4996,5,2,18,Business District,Semi-Furnished,0,1,0,43412774.6
3604,4,3,41,Business District,Fully-Furnished,0,0,0,32182059.17
3235,3,2,2,Suburbs,Semi-Furnished,1,0,0,18940477.71
1454,4,2,26,Rural,Fully-Furnished,1,0,0,7198258.24
3946,4,3,2,Downtown,Semi-Furnished,1,0,0,36815750.64
1545,4,1,27,Downtown,Semi-Furnished,1,0,0,15152203.3
2193,3,3,16,Downtown,Semi-Furnished,1,1,0,22377721.14
3936,5,2,30,Uptown,Fully-Furnished,0,0,1,33102225.37
1062,4,3,9,Rural,Unfurnished,1,0,0,7504057.74
2985,5,3,48,Downtown,Fully-Furnished,1,0,0,29523161.74
3854,4,4,21,Uptown,Semi-Furnished,1,1,0,30474572.7
725,5,1,29,Business District,Unfurnished,1,0,0,7806140.28
1459,2,2,48,Suburbs,Unfurnished,1,0,0,6970537.59
3567,3,2,20,Rural,Semi-Furnished,1,0,0,14144491.52
1315,4,2,35,Rural,Fully-Furnished,1,1,0,8505122.29
3620,5,3,22,Business District,Unfurnished,1,0,1,31538159.83
516,5,1,37,Rural,Unfurnished,1,0,0,2619928.08
1743,1,1,11,Rural,Fully-Furnished,1,1,0,8249448.88
2705,3,1,24,Rural,Fully-Furnished,1,0,1,12276812.51
3024,5,2,19,Rural,Unfurnished,1,0,0,12453268.55
1569,2,3,48,Uptown,Fully-Furnished,1,0,1,13341151.56
3944,4,4,48,Uptown,Unfurnished,1,0,0,28026640.73
3065,3,4,41,Suburbs,Semi-Furnished,1,0,0,17774610.92
1560,3,3,6,Rural,Fully-Furnished,1,1,1,10669659.24
2827,5,2,28,Business District,Unfurnished,1,1,1,26066278.88
3920,4,3,47,Downtown,Fully-Furnished,1,1,1,39834284.22
801,4,2,28,Suburbs,Fully-Furnished,1,0,0,6261205.9
4776,4,4,12,Downtown,Unfurnished,1,0,0,42944361.45
1106,1,3,2,Downtown,Semi-Furnished,1,0,0,11027387.41
3670,3,2,1,Rural,Unfurnished,0,0,1,14420925.38
1199,4,3,15,Business District,Fully-Furnished,1,0,0,14210059.38
1639,3,3,29,Downtown,Unfurnished,1,0,0,14619171.56
690,3,1,37,Downtown,Fully-Furnished,1,0,1,7940195.4
2800,5,2,5,Suburbs,Unfurnished,1,0,1,17976785.23
1480,2,1,44,Business District,Semi-Furnished,1,1,0,12399094.77
3475,4,2,6,Business District,Semi-Furnished,1,0,1,32346315.5
1684,5,2,4,Downtown,Semi-Furnished,1,0,0,17113169.46
3827,5,2,6,Business District,Semi-Furnished,1,0,0,34803471.77
3894,3,2,33,Suburbs,Unfurnished,1,0,0,20359324.73
627,3,3,31,Suburbs,Semi-Furnished,0,0,0,3974489.09
2565,4,3,48,Suburbs,Unfurnished,1,0,1,14570765.17
2316,5,2,12,Rural,Fully-Furnished,1,0,1,13016356.75
1069,1,1,29,Downtown,Fully-Furnished,1,0,0,9670726.79
2395,4,2,24,Business District,Fully-Furnished,1,1,1,25696101.69
3233,5,3,20,Suburbs,Semi-Furnished,1,0,0,19259436.18
4363,4,3,20,Downtown,Semi-Furnished,1,0,0,39118977.49
4514,5,2,27,Downtown,Semi-Furnished,0,0,0,41161020.01
3401,4,2,47,Rural,Fully-Furnished,1,0,1,15875378.14
2186,3,1,19,Business District,Fully-Furnished,1,1,0,22490058.01
3509,5,3,33,Business District,Fully-Furnished,1,0,0,33298483.91
654,2,3,4,Suburbs,Fully-Furnished,1,0,0,5724592.32
3037,3,4,17,Suburbs,Unfurnished,0,0,0,16700519.08
1909,4,2,38,Downtown,Unfurnished,1,1,1,19250907.11
4557,3,4,42,Business District,Semi-Furnished,0,0,0,37542840.46
1284,2,2,10,Business District,Semi-Furnished,1,1,0,12287950.43
3675,4,2,16,Suburbs,Fully-Furnished,1,0,1,22939829.1
4841,3,2,47,Uptown,Unfurnished,0,1,0,33426197.54
3306,5,4,44,Downtown,Unfurnished,0,1,1,31174933.4
1037,3,1,21,Business District,Semi-Furnished,0,0,0,8641265.24
2341,3,2,36,Rural,Unfurnished,1,0,0,8018678.11
2955,1,3,19,Rural,Semi-Furnished,1,0,1,11910220.34
1024,3,3,47,Uptown,Fully-Furnished,1,0,0,8112986.68
3450,4,4,47,Suburbs,Fully-Furnished,1,0,1,22700797.54
4631,4,2,47,Suburbs,Semi-Furnished,1,0,0,24284595.34
4615,4,2,45,Suburbs,Fully-Furnished,1,0,0,27502862.45
2868,5,3,5,Rural,Fully-Furnished,1,0,1,15829192.63
4347,4,4,33,Suburbs,Unfurnished,1,0,0,23462934.48
4995,3,3,13,Rural,Unfurnished,1,0,0,19115992.52
3201,5,3,47,Uptown,Unfurnished,1,0,1,23897435.66
1471,3,2,22,Downtown,Unfurnished,1,1,1,15507661.68
1666,4,3,19,Business District,Unfurnished,1,1,0,16481534.05
3274,4,2,12,Uptown,Semi-Furnished,1,1,1,27882706.37
2482,3,1,46,Rural,Semi-Furnished,1,0,1,9301133.27
1353,1,1,43,Uptown,Unfurnished,1,0,0,8385173.44
4646,3,3,40,Business District,Fully-Furnished,1,0,0,42621592.82
4236,5,4,31,Downtown,Fully-Furnished,1,0,0,42825479.4
4269,5,4,25,Business District,Semi-Furnished,1,0,1,38161928.8
1074,1,3,49,Rural,Semi-Furnished,1,0,1,3811598.72
3761,5,4,13,Business District,Semi-Furnished,1,1,1,36275522.81
1648,1,2,35,Uptown,Fully-Furnished,1,0,1,13141207.38
2215,3,3,7,Suburbs,Semi-Furnished,1,0,0,14494476.2
4354,5,3,39,Uptown,Fully-Furnished,1,1,0,36203624.33
2991,3,3,21,Rural,Semi-Furnished,1,0,0,12125936.02
3160,5,2,21,Downtown,Fully-Furnished,1,0,0,32920354.29
3624,5,2,15,Business District,Semi-Furnished,1,0,1,32985046.49
3551,5,3,26,Downtown,Semi-Furnished,1,1,1,35638432.81
504,2,3,9,Rural,Fully-Furnished,1,0,0,4298347.59
1376,5,2,24,Business District,Semi-Furnished,1,0,0,14104962.75
1491,3,3,30,Uptown,Unfurnished,1,0,1,12259784.65
4642,3,4,20,Uptown,Fully-Furnished,1,0,0,38263130.44
4864,5,4,26,Rural,Semi-Furnished,1,0,0,19836636.31
4965,3,3,16,Business District,Fully-Furnished,1,0,0,46503241.78
1135,5,1,32,Uptown,Semi-Furnished,1,0,0,10543053.86
2193,4,3,30,Rural,Unfurnished,1,0,1,9822565.88
2182,2,1,49,Rural,Semi-Furnished,1,0,0,6649967.16
619,1,2,41,Downtown,Semi-Furnished,0,0,1,5811795.95
1330,3,1,25,Uptown,Unfurnished,1,0,0,9747707.36
4175,4,2,20,Business District,Fully-Furnished,1,0,0,38599159.12
1869,3,1,35,Uptown,Semi-Furnished,1,0,0,13327582.35
1240,3,3,0,Uptown,Semi-Furnished,1,0,0,10785817.99
616,2,1,3,Uptown,Unfurnished,1,0,0,5727909.1
3338,5,4,3,Rural,Fully-Furnished,1,1,0,18299255.99
1650,1,1,25,Suburbs,Fully-Furnished,1,1,0,11485094.02
2431,3,1,3,Suburbs,Unfurnished,1,0,1,15773699.28
1512,1,1,48,Downtown,Unfurnished,1,1,0,12715382.17
2164,4,2,8,Uptown,Semi-Furnished,1,0,0,18750316.57
1581,1,1,29,Suburbs,Unfurnished,1,1,1,9639018.41
1012,5,2,44,Downtown,Unfurnished,1,0,0,9048969.01
3349,5,4,3,Rural,Unfurnished,0,0,1,14980624.02
1059,5,1,4,Uptown,Fully-Furnished,1,0,1,11552169.49
4172,4,3,44,Business District,Unfurnished,1,0,1,34703438.37
3843,5,4,22,Rural,Semi-Furnished,1,0,1,18257075.37
4570,4,2,15,Downtown,Semi-Furnished,1,0,0,42799245.26
1970,1,1,21,Rural,Semi-Furnished,1,0,0,6133750.84
1080,1,2,36,Business District,Unfurnished,1,1,1,11044410.93
2794,4,2,7,Rural,Fully-Furnished,0,0,0,13616763.35
3647,4,4,47,Downtown,Unfurnished,1,0,0,31936717.97
4749,5,2,32,Business District,Unfurnished,1,1,1,40750615.3
2179,1,2,37,Business District,Semi-Furnished,0,0,1,17951415.46
4006,5,3,42,Rural,Unfurnished,1,1,0,16044043.12
3244,5,2,15,Business District,Fully-Furnished,0,0,0,31449333.16
3856,5,4,4,Rural,Semi-Furnished,1,0,0,16629244.87
4545,5,2,15,Uptown,Fully-Furnished,1,0,1,38689240.72
1743,3,3,6,Business District,Fully-Furnished,0,0,0,17179227.75
3618,5,4,0,Rural,Fully-Furnished,1,0,1,19111912.37
2641,5,3,8,Uptown,Unfurnished,1,0,1,21803855.52
3559,5,3,17,Business District,Unfurnished,1,0,0,30274130.73
3459,5,4,44,Uptown,Unfurnished,1,0,0,25302786.5
2765,5,1,46,Business District,Unfurnished,0,0,0,22553740.65
2979,5,1,2,Downtown,Semi-Furnished,1,0,1,29573105.61
2135,3,3,23,Downtown,Unfurnished,1,1,0,20957070.01
2257,3,2,27,Rural,Semi-Furnished,0,0,1,9027278.95
4952,5,2,9,Suburbs,Fully-Furnished,1,1,0,32609008.94
2570,1,1,8,Downtown,Semi-Furnished,1,0,0,22799208.31
3349,4,3,12,Suburbs,Unfurnished,1,1,1,21247971.78
3751,3,2,47,Uptown,Semi-Furnished,1,0,0,26774054.58
4230,4,2,34,Uptown,Unfurnished,1,0,1,30369725.97
2989,4,3,22,Suburbs,Unfurnished,0,0,0,16322221.16
2131,2,2,46,Rural,Semi-Furnished,1,0,1,8154816.74
3316,3,4,16,Business District,Semi-Furnished,1,0,1,30808021.66
1515,2,2,45,Suburbs,Fully-Furnished,0,0,1,9487964.06
1848,5,1,6,Suburbs,Fully-Furnished,1,0,0,13798894.25
3587,3,4,15,Suburbs,Fully-Furnished,1,0,0,22534311.45
3339,5,2,39,Suburbs,Fully-Furnished,1,0,0,20716925.69
835,3,3,35,Suburbs,Fully-Furnished,1,0,0,5357745.25
1395,3,1,19,Rural,Semi-Furnished,1,0,1,7140036.28
4046,3,4,23,Downtown,Fully-Furnished,0,1,0,41925400.89
1351,5,3,46,Business District,Semi-Furnished,1,0,0,13104441.18
2187,1,1,4,Downtown,Fully-Furnished,0,0,1,22027763.26
2431,1,1,44,Suburbs,Unfurnished,1,0,1,12549760.09
4246,5,4,5,Downtown,Fully-Furnished,0,0,1,45047528.17
2927,5,3,27,Rural,Unfurnished,1,0,0,12088797.79
2068,5,1,4,Uptown,Semi-Furnished,1,0,0,17804298.61
4500,5,3,48,Downtown,Fully-Furnished,1,1,0,46306889.53
3238,5,2,38,Business District,Semi-Furnished,1,0,0,28304559.26
3998,4,4,37,Rural,Fully-Furnished,0,0,0,15995567.86
4413,4,3,1,Uptown,Semi-Furnished,1,0,1,34793015.04
1566,1,1,42,Rural,Fully-Furnished,1,0,0,5342779.33
4880,4,4,38,Suburbs,Fully-Furnished,1,0,0,29177652.18
2944,1,1,20,Uptown,Unfurnished,1,0,0,20509375.88
4607,3,2,39,Business District,Semi-Furnished,1,0,0,38054319.88
3873,4,2,36,Uptown,Semi-Furnished,1,0,0,27913106.13
4469,4,3,17,Business District,Semi-Furnished,1,0,0,38423832.74
3046,5,4,47,Suburbs,Semi-Furnished,1,1,0,18834000.41
1253,4,1,45,Business District,Semi-Furnished,1,0,0,11033426.36
2582,2,3,11,Rural,Unfurnished,1,0,0,10783003.01
3274,3,2,16,Downtown,Fully-Furnished,1,0,1,33530139.27
3396,5,4,36,Rural,Unfurnished,1,0,0,14341433.66
4685,4,4,45,Rural,Semi-Furnished,0,1,0,18490048.23
1275,5,2,37,Uptown,Semi-Furnished,1,1,1,12687294.24
2125,4,2,14,Suburbs,Fully-Furnished,1,0,0,14735182.31
3569,3,2,6,Downtown,Unfurnished,0,0,0,30644444.46
917,3,2,13,Business District,Fully-Furnished,1,0,1,10387481.61
614,2,1,49,Uptown,Fully-Furnished,1,1,0,5033638.24
1116,4,1,0,Suburbs,Unfurnished,1,0,1,8931571.28
